,VIV_SEL,P1_1,P1_2,P1_3,P1_4,P1_5_1,P1_5_2,P2_1,P2_2,P2_3,cve_est,cve_mun,Cluster
234,1,3,1,1,1,1,1,2,1,1,1,1,2
235,2,3,1,1,1,1,1,4,1,1,1,1,2
236,3,3,1,1,1,1,1,6,1,1,1,1,2
237,4,3,1,1,1,1,1,2,1,1,1,1,1
238,5,3,1,1,1,1,1,2,1,1,1,1,1
239,1,3,1,1,1,1,1,4,1,1,1,1,2
240,2,3,1,1,1,1,1,4,1,1,1,1,2
241,3,3,1,1,1,1,1,5,1,1,1,1,2
242,4,3,1,1,1,1,1,5,1,1,1,1,2
243,1,3,1,1,1,1,1,4,1,1,1,1,2
244,2,3,1,1,1,1,1,2,1,1,1,1,2
245,3,3,1,1,1,1,1,2,1,1,1,1,2
246,4,3,1,1,1,1,1,5,1,1,1,1,2
247,5,3,1,1,1,1,1,6,1,1,1,1,2
248,1,3,1,1,1,1,1,4,1,1,1,1,2
249,2,3,1,1,1,1,1,4,1,1,1,1,2
250,3,3,1,1,1,1,1,2,1,1,1,1,2
251,4,3,1,1,1,1,1,1,1,1,1,1,1
252,5,3,1,1,1,1,1,3,1,1,1,1,1
253,1,3,1,1,1,1,1,5,1,1,1,1,2
254,2,2,1,1,1,1,1,3,1,1,1,1,2
255,3,3,1,1,1,1,2,1,1,1,1,1,1
256,4,3,1,1,1,1,2,3,1,1,1,1,2
257,5,3,1,1,1,1,1,6,1,1,1,1,2
258,1,3,1,1,1,1,1,8,1,1,1,1,2
259,2,3,1,1,1,1,1,5,1,1,1,1,2
260,3,3,1,1,1,1,1,2,1,1,1,1,2
261,4,3,1,1,1,1,1,1,1,1,1,1,1
262,5,3,1,1,1,1,1,7,1,1,1,1,2
263,1,3,1,1,1,1,1,3,1,1,1,1,2
264,2,3,1,1,1,1,1,3,1,1,1,1,2
265,3,3,1,1,1,1,1,1,1,1,1,1,1
266,4,3,1,1,1,1,1,3,1,1,1,1,2
267,5,2,1,1,1,1,1,5,1,1,1,1,1
268,1,3,1,1,1,1,1,4,1,1,1,1,2
269,2,3,1,1,1,1,1,5,1,1,1,1,2
270,3,3,1,1,1,1,1,4,1,1,1,1,2
271,4,3,1,1,1,1,1,2,1,1,1,1,1
272,5,3,1,1,1,1,1,5,1,1,1,1,2
273,1,2,1,1,1,1,1,7,2,2,1,1,2
274,3,3,1,1,1,1,1,4,1,1,1,1,2
275,4,3,1,1,1,1,1,3,1,1,1,1,2
276,5,3,1,1,1,1,1,6,1,1,1,1,2
277,1,3,1,1,1,1,1,2,1,1,1,1,2
278,2,2,1,1,1,1,1,5,2,2,1,1,2
279,3,3,1,1,1,1,1,5,1,1,1,1,2
280,4,3,1,1,1,1,1,4,1,1,1,1,2
281,5,3,1,1,1,1,1,5,1,1,1,1,2
282,2,3,1,1,1,1,1,5,1,1,1,1,2
283,3,2,1,1,1,1,1,5,1,1,1,1,2
284,4,2,1,1,1,2,2,4,1,1,1,1,2
285,5,3,1,1,1,1,1,2,1,1,1,1,1
286,1,3,1,1,1,1,1,4,1,1,1,1,2
287,2,3,1,1,1,1,1,4,1,1,1,1,2
288,3,3,1,1,1,1,1,3,1,1,1,1,2
289,4,3,1,1,1,1,1,3,1,1,1,1,2
290,5,3,1,1,1,1,1,6,1,1,1,1,2
291,1,2,1,1,1,1,1,4,1,1,1,1,2
292,2,3,1,1,1,1,2,5,1,1,1,1,2
293,3,2,1,1,1,1,1,9,1,1,1,1,2
294,4,3,1,1,1,1,1,6,1,1,1,1,2
295,1,3,1,1,1,1,1,1,1,1,1,1,2
296,2,3,1,1,1,1,1,4,1,1,1,1,2
297,3,3,1,1,1,1,1,2,1,1,1,1,2
298,4,2,1,1,1,1,1,3,1,1,1,1,1
299,5,3,1,1,1,1,1,4,1,1,1,1,1
300,1,2,1,1,1,1,2,4,1,1,1,1,2
301,2,3,1,1,1,1,1,3,1,1,1,1,2
302,3,2,1,1,1,1,2,2,1,1,1,1,2
303,4,3,1,1,1,1,1,4,1,1,1,1,2
304,5,3,1,1,1,1,1,3,1,1,1,1,1
305,2,3,1,1,1,1,1,6,1,1,1,1,2
306,3,3,1,1,1,1,1,3,1,1,1,1,2
307,4,3,1,1,1,1,1,4,1,1,1,1,2
308,5,3,1,1,1,1,1,4,1,1,1,1,1
309,2,2,1,1,1,1,2,5,1,1,1,1,2
310,3,3,1,1,1,1,1,4,1,1,1,1,2
311,5,3,1,1,1,1,1,3,1,1,1,1,1
312,1,3,1,1,1,1,1,3,1,1,1,1,2
313,2,3,1,1,1,1,1,4,1,1,1,1,2
314,5,3,1,1,1,1,1,5,1,1,1,1,2
315,1,3,1,1,1,1,1,8,1,1,1,1,2
316,2,3,1,1,1,1,1,4,1,1,1,1,2
317,3,2,1,1,1,2,1,6,1,1,1,1,2
318,4,3,1,1,1,1,1,6,1,1,1,1,2
319,5,3,1,1,1,1,1,1,1,1,1,1,1
320,1,2,1,1,1,1,1,2,1,1,1,1,2
321,2,3,1,1,1,1,1,4,1,1,1,1,2
